										Receding Angle	Leidenfrost Point	Geometry Details							Breaktrough Pressure
No	Ref	Category	subcategory	material	surface energy/oxides/	coating	surface energy/frourines/organic/molecular w/carbon length/electronegativity/	test liquid	surface tension	receding angle	leidenfrost point	Arrangement	Basic Geometry	texture height (mm)	center-to-center distance (mm)	texture width (mm)	lip depth (mm)	lip thickness (mm)	breaktrough pressure (kPa)
1	1	non-textured	flat	silica		none		water		0	286	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2	1	non-textured	rough	silica		glaco (pefluorinated silica NPs ~ 50nm)		water		151	130	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	textured	pillars	SiO2		none		water		0	314	hexagonal	circle	50	50	10	n/a	n/a	n/a
4	1	textured	pillars	SiO2		none		water		146	363	hexagonal	circle	50	50	10	2	0.5	n/a
5	2	textured	cavities	SiO2		plasma treatment		water		0	n/a	hexagonal	circle	53	212	200	n/a	n/a	n/a
6	2	textured	cavities	SiO2		plasma treatment		water		0	n/a	hexagonal	circle	53	212	200	2	0.5	n/a
7	2	textured	cavities	SiO2		piranha-cleaned and storage		water		0	n/a	hexagonal	circle	53	212	200	n/a	n/a	n/a
8	2	textured	cavities	SiO2		piranha-cleaned and storage		water		0	n/a	hexagonal	circle	53	212	200	2	0.5	102
9	2	textured	cavities	SiO2		perfluorodecyltrichlorosilane (FDTS)		water		100	n/a	hexagonal	circle	53	212	200	n/a	n/a	169
10	2	textured	cavities	SiO2		perfluorodecyltrichlorosilane (FDTS)		water		100	n/a	hexagonal	circle	53	212	200	2	0.5	103
11	3	non-textured	flat	IPS		none		water		27	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12	3	non-textured	flat	IPS		none		hexadecane		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13	3	non-textured	flat	IPS		none		isopropanol		0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14	3	textured	reentrant-pillars	IPS		none		water		172	n/a	square	circle	90	100	20	2.5	0.5	
15	3	textured	reentrant-pillars	IPS		none		hexadecane		168	n/a	square	circle	90	100	20	2.5	0.5	
16	3	textured	reentrant-pillars	IPS		none		isopropanol		164	n/a	square	circle	90	100	20	2.5	0.5	
