texture height (mm),center-to-center distance (mm),texture width (mm),lip depth (mm),lip thickness (mm),receding angle,Category_non-textured,Category_textured,subcategory_cavities,subcategory_flat,subcategory_pillars,subcategory_reentrant-cavities,subcategory_reentrant-pillars,subcategory_rough,subcategory_rough-donuts,subcategory_rough-strings,material_CNTs forrest,material_IPS,material_OTFE,material_PDMS,material_SiO2,"material_cis-1,4-polyisoprene tape","material_cis-1,4-polyisoprene tape?",material_electrospun-fruoroPOSS-PMMA,material_epoxy,material_silica,material_silicon wafers,material_spincoat-fluoroPOSS-PMMA,coating_10-Undecenyl,coating_11-Bromoundecyl,coating_OTS,coating_Octadecyl,coating_Octyltriethoxy,coating_PDMS oligomer,coating_PTFE,coating_Phenethyl,coating_Phenyl,coating_glaco (pefluorinated silica NPs ~ 50nm),coating_none,coating_perfluorodecyltrichlorosilane (FDTS),coating_piranha-cleaned and storage,coating_plasma treatment,coating_tetrahydrodecyltrichlorosilane,test liquid_BMIm,test liquid_FC-70,test liquid_decane,test liquid_hexadecane,test liquid_hexane,test liquid_isopropanol,test liquid_octane,test liquid_pentane,test liquid_perhydrophenalene,test liquid_silicone oil,test liquid_water,Arrangement_None,Arrangement_hexagonal,Arrangement_square,Basic Geometry_None,Basic Geometry_circle
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
0,0,0,0,0,151,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
50,50,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
50,50,10,2,0.5,146,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
53,212,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
53,212,200,2,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
53,212,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
53,212,200,2,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
53,212,200,0,0,100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
53,212,200,2,0.5,100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
