,Category,subcategory,material,coating,test liquid,Arrangement,Basic Geometry,texture height (mm),center-to-center distance (mm),texture width (mm),lip depth (mm),lip thickness (mm),receding angle
0,non-textured,flat,silica,none,water,None,None,0,0,0,0,0,0
1,non-textured,rough,silica,glaco (pefluorinated silica NPs ~ 50nm),water,None,None,0,0,0,0,0,151
2,textured,pillars,SiO2,none,water,hexagonal,circle,50,50,10,0,0,0
3,textured,pillars,SiO2,none,water,hexagonal,circle,50,50,10,2,0.5,146
4,textured,cavities,SiO2,plasma treatment,water,hexagonal,circle,53,212,200,0,0,0
5,textured,cavities,SiO2,plasma treatment,water,hexagonal,circle,53,212,200,2,0.5,0
6,textured,cavities,SiO2,piranha-cleaned and storage,water,hexagonal,circle,53,212,200,0,0,0
7,textured,cavities,SiO2,piranha-cleaned and storage,water,hexagonal,circle,53,212,200,2,0.5,0
8,textured,cavities,SiO2,perfluorodecyltrichlorosilane (FDTS),water,hexagonal,circle,53,212,200,0,0,100
9,textured,cavities,SiO2,perfluorodecyltrichlorosilane (FDTS),water,hexagonal,circle,53,212,200,2,0.5,100
10,non-textured,flat,IPS,none,water,None,None,0,0,0,0,0,27
11,non-textured,flat,IPS,none,hexadecane,None,None,0,0,0,0,0,0
12,non-textured,flat,IPS,none,isopropanol,None,None,0,0,0,0,0,0
13,textured,reentrant-pillars,IPS,none,water,square,circle,90,100,20,2.5,0.5,172
14,textured,reentrant-pillars,IPS,none,hexadecane,square,circle,90,100,20,2.5,0.5,168
15,textured,reentrant-pillars,IPS,none,isopropanol,square,circle,90,100,20,2.5,0.5,164
16,non-textured,flat,IPS,perfluorodecyltrichlorosilane (FDTS),water,None,None,0,0,0,0,0,47
17,non-textured,flat,IPS,perfluorodecyltrichlorosilane (FDTS),hexadecane,None,None,0,0,0,0,0,25
18,non-textured,flat,IPS,perfluorodecyltrichlorosilane (FDTS),isopropanol,None,None,0,0,0,0,0,0
19,textured,reentrant-pillars,silicon wafers,piranha-cleaned and storage,water,square,circle,30,100,20,2.5,0.5,139
20,textured,reentrant-pillars,silicon wafers,piranha-cleaned and storage,hexadecane,square,circle,30,100,20,2.5,0.5,132
